"names","delta_coef","theta_coef","alpha_coef","beta_coef","gamma_coef","x","y","z"
"Left-Caudate",-0.000609728302527218,-3.76957877992638e-05,0.000624334133033691,-0.000200386572213509,0.000290838967181215,-11.6611255411255,11.2344588744589,12.7374891774892
"Left-Putamen",-0.000516218225407235,-0.000344600997246588,0.000237872799523916,0.000134268235534462,0.000509606613573986,-23.7605837496713,4.30305022350776,2.10386536944517
"Left-Hippocampus",-0.000707118909920089,-0.000132497816287528,0.000365040404331092,0.00029696581486562,0.000113610493736515,-23.9002923026957,-19.8480025982462,-11.4303345241962
"Left-Amygdala",-0.000463865490606023,-1.5728445553452e-05,0.000416103885807428,0.000252356546019287,-0.00027056460016532,-21.3053398058252,-1.14174757281553,-17.8592233009709
"Right-Caudate",-0.00080412109109238,-0.000780097806627508,0.000504398233831408,0.000647942190954835,0.000377181602839586,16.379277262552,11.4128557723057,12.3431403901503
"Right-Putamen",-0.000419570073544883,-0.000514868108880146,0.000749448714896279,0.000253241998192593,-0.000188855813235607,28.171581769437,4.26930294906166,2.1916890080429
"Right-Hippocampus",-0.000429237350900163,-0.000108102087151172,0.000358949016413201,0.000261882299667062,-0.000141104795057692,28.8066752660432,-19.5743308610126,-11.6410835214447
"Right-Amygdala",-0.00033512866425646,-0.000138594642952679,0.000616892933746778,0.000180624826049131,-0.000473047614850671,25.7426433915212,-1.80897755610973,-17.3546134663342
"l.bankssts",-0.00117289700866816,-0.000257476059659358,0.000461285341908504,0.00052332688541844,0.000370973968530213,-51.5250069851914,-39.3450684548757,10.1098072087175
"l.caudalanteriorcingulate",0.000128428567857862,6.74798613407936e-05,0.000158928276317037,-0.000242288466421981,-0.000275626373597767,-2.53215579710145,22.6915760869565,30.705615942029
"l.caudalmiddlefrontal",-0.000875993895947299,5.33243811802137e-05,0.000446223537375018,0.000317189429102855,-0.000119816107454532,-34.0843214756258,15.7094354920442,50.0280733758995
"l.cuneus",-0.00155962074043573,-0.000594915272071985,0.000638899237667646,0.000653956863238485,0.000378841457408913,-4.94639956686519,-77.1437466161343,21.9729290741743
"l.entorhinal",-0.000501961737813346,-5.80687888197925e-05,0.000288699732063355,0.000180545770052171,6.07706092174113e-05,-21.1928137651822,-3.19331983805668,-30.7322874493927
"l.fusiform",-0.000963528366037002,-0.00032181517652737,0.000418399345953629,0.000502430697746811,0.000286028099970705,-32.7818946366233,-39.3155347508727,-20.7168359251031
"l.inferiorparietal",-0.00115278725649625,-0.000132707217307045,0.000477013302682473,0.000546762561362991,7.994538503239e-05,-41.177792,-66.197504,34.58912
"l.inferiortemporal",-0.00108227929203605,-0.000402161048099236,0.000588819114693676,0.000577402147410605,0.000202161443051752,-49.882657869934,-30.3149320048472,-22.3672411471657
"l.isthmuscingulate",-0.000338529055207929,-5.8976948597217e-05,0.000209016797646405,0.000177098883118565,-7.74728409544714e-05,-4.82927653820149,-42.7227856659905,22.3187964841109
"l.lateraloccipital",-0.000971945945276539,-0.000188766895369835,0.000333557283140267,0.000404678639283922,0.000314226571731242,-30.7421881308034,-84.8458619297537,3.34444893015745
"l.lateralorbitofrontal",-0.000693746010121043,-0.00017096000552616,0.000271733114618268,0.000192283829923113,0.000238453583623008,-22.4616872649113,35.1326168726491,-15.9257388500806
"l.lingual",-0.0006273518211032,6.8746003698743e-05,0.000348640366688226,0.00019217818604471,-6.0514609248561e-05,-11.1102160380813,-65.7485658488954,-2.49127303795923
"l.medialorbitofrontal",-0.000480409837963779,0.000117033854858185,0.00031645027232256,6.00202586781657e-05,-0.000135830749612189,-2.44785403275969,41.4291934480614,-16.1764461953141
"l.middletemporal",-0.00102918331750681,-0.000338180550966907,0.000549081914587039,0.000572001013723195,0.000100682098205319,-55.9070886990011,-20.2206643398724,-12.4513178481165
